entityKey,displayName,metricKey,value,unit,currency,periodClass,fiscalYear,fiscalPeriod,periodEnd,trustState,comparability,observationId
entity:company:adobe,adobe,new_entity,1,entity,,release_delta,,,,not_applicable,release_delta,release-delta:entity:company:adobe
entity:company:amd,amd,new_entity,1,entity,,release_delta,,,,not_applicable,release_delta,release-delta:entity:company:amd
entity:company:broadcom,broadcom,new_entity,1,entity,,release_delta,,,,not_applicable,release_delta,release-delta:entity:company:broadcom
entity:company:datadog,datadog,new_entity,1,entity,,release_delta,,,,not_applicable,release_delta,release-delta:entity:company:datadog
entity:company:digital-realty,digital-realty,new_entity,1,entity,,release_delta,,,,not_applicable,release_delta,release-delta:entity:company:digital-realty
entity:company:google,google,new_entity,1,entity,,release_delta,,,,not_applicable,release_delta,release-delta:entity:company:google
entity:company:intel,intel,new_entity,1,entity,,release_delta,,,,not_applicable,release_delta,release-delta:entity:company:intel
entity:company:mongodb,mongodb,new_entity,1,entity,,release_delta,,,,not_applicable,release_delta,release-delta:entity:company:mongodb
entity:company:oracle,oracle,new_entity,1,entity,,release_delta,,,,not_applicable,release_delta,release-delta:entity:company:oracle
entity:company:palantir,palantir,new_entity,1,entity,,release_delta,,,,not_applicable,release_delta,release-delta:entity:company:palantir
entity:company:salesforce,salesforce,new_entity,1,entity,,release_delta,,,,not_applicable,release_delta,release-delta:entity:company:salesforce
entity:company:servicenow,servicenow,new_entity,1,entity,,release_delta,,,,not_applicable,release_delta,release-delta:entity:company:servicenow
entity:company:snowflake,snowflake,new_entity,1,entity,,release_delta,,,,not_applicable,release_delta,release-delta:entity:company:snowflake
entity:company:amazon,amazon,research_and_development,withheld,state,,release_delta,,,,not_applicable,withheld_incompatible_definition,cf42cb7d008c38750e02df3342c1bf6698e601c0
entity:company:digital-realty,digital-realty,capital_expenditure,withheld,state,,release_delta,,,,not_applicable,withheld_ambiguous_mapping,8bfdbeab568cc336f63ab4adfc3732f72813122d
entity:company:digital-realty,digital-realty,research_and_development,withheld,state,,release_delta,,,,not_applicable,unavailable,94c15d31835ff90b6680c2f7757eb7f021b025ff
